course_id,title,api_tags,auto_tag_confidence,numerology_tags,chakra_tags,energy_poles,reason
haf-2025-25ea63b0dac2,Healing Hands with Mandala,双语 | 身心共振,0.5,6 | 2,heart | root,inward | calm,自动文本证据不足，需要人工确认
haf-2025-bf84553d17ad,Mindful Being and Art as Heart-Soul Language,双语 | 身心共振,0.5,6 | 2,heart | root,inward | calm,自动文本证据不足，需要人工确认
haf-2025-d6c434200abc,体态评估与肌肉骨骼修复,身心共振,0.5,6 | 2,heart | root,inward | calm,自动文本证据不足，需要人工确认
haf-2025-45571513e658,读脸读心:提升你的社交直觉与共情力,情绪密码,1.0,2 | 6,heart | third_eye,inward | calm,自动文本证据不足，需要人工确认
